episode,timestep,reward
5189,259500,-131.5886
5195,259800,-136.5008
5201,260100,-152.3445
5207,260400,-126.2938
5213,260700,-108.9679
5219,261000,-115.9508
5225,261300,-152.0126
5231,261600,-98.5881
5237,261900,-136.0339
5243,262200,-130.9316
5249,262500,-137.665
5255,262800,-155.0476
5261,263100,-115.0604
5267,263400,-121.3741
5273,263700,-118.9523
5279,264000,-140.9903
5285,264300,-131.1306
5291,264600,-151.9886
5297,264900,-144.5279
5303,265200,-121.6502
5309,265500,-149.2491
5315,265800,-129.2562
5321,266100,-142.9942
5327,266400,-156.9392
5333,266700,-108.7291
5339,267000,-134.0489
5345,267300,-134.2133
5351,267600,-146.278
5357,267900,-160.0725
5363,268200,-137.2817
5369,268500,-114.2945
5375,268800,-120.6969
5381,269100,-122.7021
5387,269400,-147.5267
5393,269700,-127.6359
5399,270000,-148.4761
5405,270300,-173.1652
5411,270600,-156.5179
5417,270900,-124.5028
5423,271200,-142.1078
5429,271500,-141.4004
5435,271800,-142.9859
5441,272100,-139.7561
5447,272400,-149.4804
5453,272700,-133.5241
5459,273000,-145.0131
5465,273300,-119.3464
5471,273600,-141.1381
5477,273900,-138.4779
5483,274200,-138.2337
5489,274500,-135.3644
5495,274800,-128.0169
5501,275100,-135.8105
5507,275400,-117.5207
5513,275700,-113.5342
5519,276000,-118.1367
5525,276300,-123.9791
5531,276600,-143.6231
5537,276900,-139.2661
5543,277200,-171.0161
5549,277500,-137.804
5555,277800,-140.3083
5561,278100,-124.0765
5567,278400,-109.6352
5573,278700,-137.1114
5579,279000,-158.5929
5585,279300,-150.1209
5591,279600,-139.2348
5597,279900,-122.9458
5603,280200,-157.7666
5609,280500,-125.5152
5615,280800,-123.5387
5621,281100,-127.5795
5627,281400,-130.9277
5633,281700,-129.3958
5639,282000,-167.0729
5645,282300,-112.7701
5651,282600,-149.2806
5657,282900,-148.0193
5663,283200,-139.3613
5669,283500,-142.908
5675,283800,-131.5862
5681,284100,-147.3662
5687,284400,-131.2968
5693,284700,-125.0566
5699,285000,-118.8895
5705,285300,-139.5628
5711,285600,-147.3704
5717,285900,-129.2688
5723,286200,-117.9223
5729,286500,-180.8826
5735,286800,-101.3004
5741,287100,-140.3497
5747,287400,-115.7642
5753,287700,-155.7907
5759,288000,-132.4411
5765,288300,-125.1943
5771,288600,-132.1581
5777,288900,-139.8037
5783,289200,-124.7071
5789,289500,-135.6655
5795,289800,-161.1357
5801,290100,-146.1895
5807,290400,-129.4646
5813,290700,-135.9214
5819,291000,-136.4252
5825,291300,-100.6576
5831,291600,-144.8148
5837,291900,-143.3128
5843,292200,-156.5703
5849,292500,-138.4925
5855,292800,-130.028
5861,293100,-115.9592
5867,293400,-127.7047
5873,293700,-140.3051
5879,294000,-133.9791
5885,294300,-137.4849
5891,294600,-113.0229
5897,294900,-133.4445
5903,295200,-130.6902
5909,295500,-153.9757
5915,295800,-138.6331
5921,296100,-118.5326
5927,296400,-140.4243
5933,296700,-147.312
5939,297000,-139.3033
5945,297300,-144.4381
5951,297600,-121.2849
5957,297900,-107.3982
5963,298200,-113.5939
5969,298500,-129.986
5975,298800,-151.899
5981,299100,-142.0565
5987,299400,-146.1237
5993,299700,-151.5109
5999,300000,-115.1607
